roll_no,name,Father_name,Mother_name,dob,gender,email,phone,address,school_name_10th,school_name_12th,marks_10th,marks_12th
22311026,David Shroff,Pranit Ramakrishnan,Ijaya Sankaran,2003-06-23,Female,kumarnidra@gmail.com,8999394308,"H.No. 91
Bhatti Marg
Tirupati 845272","H.No. 680
Sunder Nagar
Karawal Nagar 688603","H.No. 306
Guha Path, Anantapuram 063071",60,91
22311027,Falan Sarna,Wyatt Sachdev,Gautami Mohanty,2004-05-13,Male,varghesenidra@gmail.com,8478981681,"045, Swamy Chowk
Malegaon-735503","H.No. 76, Sehgal
Naihati 382122","95
Suri Zila
Delhi 733577",81,93
22311028,Gabriel Bhargava,Anmol Kalla,Aashi Lata,2000-03-30,Female,tbhandari@gmail.com,1257676185,"472, Shenoy Zila, Agra 400335","90, Kale Road
Bhagalpur 787122","H.No. 257
Bhatti Chowk
Sambhal-590003",77,80
22311029,Triya Saha,Finn Bava,Tripti Chanda,2001-02-25,Female,vyanjana13@gmail.com,9495892189,"54/63
Brahmbhatt Chowk
Raipur 223402","H.No. 073, Parekh Nagar, Cuttack 712312","H.No. 992, Dyal Path, Coimbatore-362785",89,86
22311030,Aarav Nazareth,Fariq Gandhi,Baghyawati Peri,2004-05-12,Female,gsethi@gmail.com,2451217401,"270, Ahluwalia Road
Malegaon-001497","26/011
Lad Nagar
Bahraich 624309","H.No. 947
Ganesh Nagar, Bally 901238",97,69
22311031,Gayathri Lall,Maanas Soni,Zarna Sem,2001-12-17,Female,frout@gmail.com,1135291029,"97, Koshy Nagar, Mirzapur-311189","91, Bajwa
Warangal-358412","101, Bawa Chowk, Bulandshahr 787109",64,66
22311032,Fitan Mammen,Shaurya Virk,Sai Magar,2002-09-08,Female,qasimbahl@gmail.com,1163151268,"07/05, Dubey Path
Imphal 512151","98, Bose Ganj
Mumbai 698444","H.No. 515
Lall Marg
Jhansi 735226",85,83
22311033,Onveer Jha,Bahadurjit Bhasin,Yachana Suresh,2004-02-04,Female,xsodhi@gmail.com,3425269548,"H.No. 03, Goswami Road
Kishanganj 037428","H.No. 02
Kale Nagar
Mangalore-016306","18, Chander Nagar, Tiruppur 621217",68,89
22311034,Vihaan Choudhary,Manthan Bera,Reva Gola,2000-03-12,Male,ekarajrege@gmail.com,9488001480,"H.No. 67
Tailor, Sangli-Miraj & Kupwad-098738","120
Singhal Marg, Ghaziabad-710858","H.No. 21
Shroff Chowk, Ghaziabad 250003",74,84
22311035,Ishaan Chanda,Jason Suri,Jeevika Sunder,2001-04-04,Female,achanda@gmail.com,4141540106,"30
Bala Path
Medininagar 104937","75, Patel Circle
Gandhidham-535837","266, Dey Circle, Vijayanagaram 099291",84,86
22311036,Oscar Sachar,Girish Kapoor,Keya Chadha,2002-03-17,Male,sbhatti@gmail.com,8882377197,"16/900, Bawa Street, Muzaffarpur-812349","22/979
Gupta Marg
Secunderabad 472764","35/48, Mukherjee Zila
Jamalpur 147987",81,86
22311037,Jacob Naik,Abeer Dash,Neelima Nayak,2005-02-23,Female,fsangha@gmail.com,7960610523,"H.No. 19
Devan Chowk
Sri Ganganagar 769834","66/874
Mangat Circle
Kavali-329068","33, Dubey Path, Kishanganj 619581",82,63
22311038,Samesh Sama,Qabil Garg,Odika Sahota,2004-01-24,Male,ladvaishnavi@gmail.com,8156956897,"168
Behl Chowk, Bidar 206459","63/493, Dani Street
Bhopal-610642","H.No. 384
Balakrishnan Chowk
Jodhpur-482337",63,62
22311039,Chaitanya Walla,Aayush Loke,Vasudha Bawa,2002-01-12,Male,leenaissac@gmail.com,9145575637,"53/930, Choudhary Chowk, Fatehpur 413425","H.No. 581, Pandey Ganj
Sambhal-437493","39
Mahajan Zila
Mangalore-981091",82,86
22311040,Gaurang Karan,Saksham Oommen,Januja Kunda,2000-04-06,Male,rajata97@gmail.com,7365612373,"H.No. 65
Devan Street
Erode 068251","35, Thaker Marg, Bhusawal 051789","01/117, Swaminathan Street, Sagar 416736",95,91
22311041,Krisha Kala,Kai Gupta,Warhi Parsa,2000-06-17,Male,uahluwalia@gmail.com,6130998510,"16/428, Chakraborty
Loni-600576","76/18, Lalla Ganj, Tiruchirappalli 413490","38
Hora Ganj, Adoni-231475",90,64
22311042,Nitesh Kuruvilla,Girindra Natt,Indali Gour,2002-06-03,Female,gbatta@gmail.com,9898161691,"H.No. 866, Khalsa Chowk
Vellore 856213","H.No. 71, Bhagat Marg, Karaikudi-229013","23
Bumb Marg, Suryapet-769330",72,69
22311043,Girindra Rau,Naksh Ratti,Wakeeta Jain,2000-01-02,Female,davidnath@gmail.com,9354265417,"698
Chakrabarti
Junagadh-392753","H.No. 236, Chakraborty Street
Pallavaram 378941","898, Sekhon Zila
Aurangabad-418110",67,94
22311044,Aarna Rajagopal,David Chakraborty,Janya Kumar,2002-04-30,Female,tchand@gmail.com,9401825131,"18/025
Sur Nagar
Ahmednagar-856887","34/99
Acharya Path
Mathura 614095","67/97, Shanker Chowk, Machilipatnam 487437",68,75
22311045,Raagini Choudhury,Luke Manda,Hema Vora,1999-12-02,Female,gautami89@gmail.com,8148393036,"320
Kapoor, Nagaon-502934","245
Sama Chowk
Proddatur-166813","03/920
Grover Path
Thanjavur-860748",95,91
22311046,Triveni Bhagat,Naveen Mittal,Yashodhara Dyal,2000-12-12,Female,bsaxena@gmail.com,8227612384,"H.No. 55
Sawhney Nagar, Srikakulam-486411","429, D�Alia, Warangal-899747","16
Palla Nagar
Kolhapur-567819",95,67
22311047,Krisha Mall,Kai Verma,Eta Contractor,2003-08-04,Male,yagneshrao@gmail.com,6296801748,"85/12
Pingle Path, Pallavaram-319640","H.No. 42, Pathak Zila
Nadiad 979483","64/89
Uppal Nagar
Sikar-807025",88,60
22311048,Jairaj Kale,Mitesh Desai,Ekaja Uppal,2000-12-24,Male,uborde@gmail.com,7784818988,"H.No. 636
Ben Path
Karaikudi 732653","H.No. 372
Kala Ganj, Bahraich-753633","92, Bala Nagar
Malegaon-567239",91,82
22311049,Januja Bhagat,Yash Taneja,Aashi Savant,2004-04-16,Male,darika86@gmail.com,6933393225,"H.No. 72
Grover Ganj, Darbhanga 548771","423, Sha Circle
Salem-457399","H.No. 11, Sawhney Nagar, Morbi-012984",67,70
22311050,Girik Dugal,Manan Gole,Eesha Patla,2000-03-23,Female,nathaniel15@gmail.com,4893185866,"31/27, Thaker Circle
Udupi-249115","H.No. 338
Toor Chowk, Bhalswa Jahangir Pur-206964","78/933
Yadav Road, Sirsa 102083",78,81
22311051,Udarsh Dixit,Rudra Swamy,Jeevika Madan,2001-01-15,Male,knarang@gmail.com,9195456243,"88, Comar Road, Nadiad 835288","89/172
Sarma Path, Bathinda 715450","H.No. 314
Krishnan Ganj, Jehanabad 583956",73,61
22311052,Praneel Merchant,Naveen Rattan,Lopa Pau,2000-06-16,Male,kaibose@gmail.com,9482702908,"H.No. 28
Krishnamurthy Circle, Mysore-279333","77/23
Gill Path
Mau 559567","80/99, Lala Nagar, Chinsurah 689166",90,78
22311053,Reva Samra,Zayan Kumer,Riya Dua,2002-10-07,Female,qadim90@gmail.com,4787021716,"H.No. 300
Dhawan Nagar, Agra-126871","H.No. 94, Korpal Path, Raurkela Industrial Township-949029","79/31
Kaur Road, Mango 340656",73,91
22311054,Forum Parekh,Frado Chander,Nandini Pingle,2003-05-17,Female,goswamicharita@gmail.com,1252646009,"80/613
Bobal Road, Agra 772248","H.No. 71
Narasimhan Circle
Udaipur-435359","37/084
Deo, Ranchi-439560",83,72
22311055,Vedant Varma,Gopal Magar,Hemangini Shah,2005-04-02,Female,vedant94@gmail.com,1828153083,"H.No. 564
Patla Ganj
Bhagalpur-028937","946, Chandran Nagar, Sasaram-083145","55, Patla Zila
Delhi 782715",94,61
22311056,Ethan Andra,Vivaan Tak,Eta Dutta,2000-06-27,Male,grewalfiyaz@gmail.com,1772469669,"528, Randhawa Circle
Narasaraopet 278425","97, Mishra Path, Chennai-526456","84, Mitter, Khammam 076426",75,69
22311057,Gopal Barad,Christopher Mangat,Meghana Wali,2000-10-30,Female,varora@gmail.com,9381903319,"146
Bhargava Zila
Mahbubnagar-608129","H.No. 569
Bava Circle
Naihati 086243","59/050
Swamy
Bhavnagar-860117",69,82
22311058,Karan Zachariah,Faris Handa,Radha Kapadia,2004-02-25,Female,keervasudha@gmail.com,3682664033,"H.No. 465, Jani Street
Korba 687957","H.No. 139
Goswami Nagar, Ghaziabad-495544","10
Chakrabarti Road
Amravati-174558",78,94
22311059,Faris Bhatt,Banjeet Dhawan,Jagrati Gaba,2000-09-04,Male,ipandya@gmail.com,2939960516,"H.No. 16
Atwal Road
Anand 168376","H.No. 099, Sachdev Ganj, Bhubaneswar-702066","25/27
Doshi Chowk
Dehri 055828",95,84
22311060,Libni Ghosh,Kevin Goel,Harini Seshadri,2005-06-11,Male,triptimukhopadhyay@gmail.com,4787987125,"H.No. 09
Oak Circle, Anantapur 959710","823
Pai Ganj
Thane-371296","H.No. 622, Choudhury Circle
Alwar 626440",90,96
22311061,Chaaya Manne,Wazir Kota,Falak Mani,2003-04-20,Female,wmann@gmail.com,9849867584,"43/11, Bhagat Chowk, Karawal Nagar-252841","H.No. 33, Grewal Path, Srinagar-579462","95/558, Bhat Ganj
Ahmednagar 659246",71,84
22311062,Chaitaly Chana,Abhimanyu Dass,Dhriti Prabhakar,2002-08-27,Male,fatwal@gmail.com,3055048089,"H.No. 283, Bumb Marg
Ulhasnagar-074247","222
Chatterjee, Bhagalpur 134584","588
Dubey Chowk
Surat 953675",84,65
22311063,Baghyawati Nair,Anay Bail,Yachana Sawhney,2003-07-12,Female,dyaljatin@gmail.com,6603313993,"H.No. 20
Ratti Nagar, Ghaziabad-358325","831
Sundaram Path, Pudukkottai 051887","H.No. 799
Pradhan Road, Bhagalpur 569612",83,81
22311064,Advik Nath,Harish Taneja,Meera Khare,2001-09-10,Female,yochana09@gmail.com,8534445528,"H.No. 115
Kata Road, Khora -535615","H.No. 766
Bhagat Nagar, Kolkata-723150","12
Sura Circle, Hindupur-862189",80,81
22311065,Harish Contractor,Aarav Bahl,Keya Bala,2000-10-01,Male,harrison93@gmail.com,9179014538,"H.No. 85, Memon Ganj, Bangalore-623928","00/70, Arya Road, Nandyal 288243","26/48, Minhas Nagar
Jhansi 225933",87,89
22311066,Vrishti Dubey,Lakshit Divan,Krishna Nigam,2000-03-19,Female,idora@gmail.com,1648855372,"45
Naidu Chowk
Agra 097879","H.No. 53, Naik Ganj
Bongaigaon-924501","H.No. 071
Choudhry Chowk, Khammam-507164",74,89
22311067,William Batra,Jeremiah Rout,Lipika Ahuja,2002-05-16,Male,rayaan69@gmail.com,6251894717,"H.No. 18
Dhaliwal Path, Kozhikode-069135","71, Padmanabhan, Varanasi-311856","31/720, Bandi Path, Ongole 715598",97,89
22311068,Rayaan Bakshi,Hredhaan Bhatnagar,Leela Gulati,2005-01-12,Male,zilmil61@gmail.com,8277586338,"H.No. 35, Ramanathan Chowk
Vadodara 162884","28/783, Cheema Circle
Satara-303889","H.No. 81
Parekh Chowk, Bhalswa Jahangir Pur 971197",78,94
22311069,Azaan Cherian,Banjeet Ramanathan,Bhanumati Rajagopalan,2003-12-22,Male,fsunder@gmail.com,3091679927,"H.No. 286, Dua Chowk, Kamarhati 490931","H.No. 594
Trivedi Nagar, Dhule 857780","H.No. 204
Golla Marg, Shahjahanpur 114653",69,81
22311070,Manya Char,Onkar Gera,Varenya Garde,2000-07-15,Male,indiraraja@gmail.com,8959838791,"01
D�Alia Ganj, Shahjahanpur 208928","938
Jayaraman Path, Solapur-360630","31/10
Saran Chowk
Amritsar-689235",73,66
22311071,Shivani Chatterjee,Ekalinga Bansal,Bhavika Karan,2002-01-29,Male,tbhatti@gmail.com,1192348662,"28/144, Kala Marg
Proddatur 737633","39/55, Dara Zila, Erode 025645","H.No. 731, Bora Circle
Gandhidham 463387",75,65
22311072,Saii Dutt,Agastya Date,Arunima Nadkarni,2002-09-21,Female,pauikbal@gmail.com,7448406367,"73
Bhakta Chowk, Hindupur 193251","H.No. 20, Mammen Circle
Gulbarga 368531","H.No. 18, Pant Path
Udupi-618359",91,68
22311073,Dhruv Khatri,Manbir Dave,Anusha Shenoy,2003-01-06,Female,crandhawa@gmail.com,8530676495,"H.No. 26
Ahuja Path, Dhule 426181","54/733
Tara Zila, Jammu 891867","65/091, Kala Street
Rampur 186696",84,71
22311074,Darika Khosla,Maanas Vyas,Yutika Sehgal,2001-01-01,Male,omaja07@gmail.com,6418823866,"73/00
Arya
Khammam-315241","023, Roy Nagar, Asansol 459419","H.No. 98
Trivedi Ganj, Sambhal-596483",90,63
22311075,Pooja Bal,Tanveer Vala,Zaitra Anand,2001-07-27,Male,brinda76@gmail.com,4835356218,"64/72
Dixit Circle, Chapra 585507","940
Saini Nagar, Gangtok-079430","324
Bava Road
Asansol-640990",80,84
22311076,Teerth Bose,Pranit Baral,Irya Deol,2002-06-29,Female,zaid16@gmail.com,6830767606,"395, Sabharwal Zila, Jhansi-991642","79/68
Toor Chowk, Dharmavaram-895574","54
Mistry Marg
Warangal 470004",64,90
22311077,Sara Manda,Frado Ben,Bhavna Dua,2002-10-13,Male,rnarayanan@gmail.com,7149519760,"56/747
Devan Path, Vijayawada-996547","89/19, Ravel Circle, Chandrapur 178309","95/46
Lal Road, Mangalore 884023",75,88
22311078,Gautami Venkataraman,Manbir Arya,Hemal Sunder,2004-02-04,Male,gparmer@gmail.com,7010377607,"62/83, Hari Road
Vasai-Virar 033357","10, Dutta Path, Pallavaram 566699","35, Patel Path
Ahmednagar 728852",85,87
22311079,Omisha Bera,Daniel Mishra,Chanchal Gala,2000-05-06,Male,cbarman@gmail.com,1222577669,"40/114
Deol Road, Mumbai-145437","H.No. 60, Murty Street, Miryalaguda-114472","998
Choudhary Path, Chennai-858833",93,86
22311080,Barkha Madan,Dakshesh Bassi,Yochana Roy,2002-03-04,Male,siya08@gmail.com,8280650645,"197, Baral Marg, Ujjain 390025","H.No. 78
Modi Street, Pallavaram 749190","H.No. 12
Sridhar Street
Jorhat 255993",72,69
22311081,Nisha Kapadia,Agastya Palan,Radha Krishna,2003-03-28,Male,virajdugar@gmail.com,4302284165,"H.No. 835
Chadha Marg
Bathinda 450453","H.No. 99
Rout Zila, Panvel-627233","594
Gaba, Rewa-042201",76,60
22311082,Nisha Parsa,Daksh Bir,Kala Barman,2000-09-17,Female,qmaharaj@gmail.com,3765621737,"H.No. 374
Dhaliwal Street, Mau 623017","84/57
Jhaveri Ganj, Rewa-713332","H.No. 66
Malhotra Ganj, Proddatur 045033",82,86
22311083,Wriddhish Ganguly,Ronith Singh,Sanaya Mittal,2002-08-29,Male,omkaarsaran@gmail.com,8714026567,"47/80
Nadig Path
Kottayam-287117","38/58, Chadha Road, Coimbatore 874843","16/96
Bera Zila, Sambalpur 974365",84,69
22311084,Azad Atwal,Ikbal Gopal,Maya Talwar,2003-07-20,Male,hemachoudhary@gmail.com,5009710033,"H.No. 330
Bakshi Zila, Jamalpur 273119","97/85
Mannan Street, Pondicherry 586732","56/19
Mukhopadhyay Marg, Mira-Bhayandar 973506",94,96
22311085,Reyansh Badal,Chakradhar Pingle,Yahvi Sant,2001-10-19,Female,draman@gmail.com,6491824177,"H.No. 36
Menon Nagar, Kochi 144291","61/217
Pai Nagar, Singrauli 305995","66
Desai Zila, Dhule 025392",61,96
22311086,Arjun Rana,Omkaar Saran,Omisha Raj,2003-09-20,Female,neelimabumb@gmail.com,6226638013,"72/07
Gala Nagar
Orai-982207","H.No. 43
Devan Nagar, Baranagar-295797","88
Doshi Path, Tirupati-385674",96,80
22311087,Hiral Hans,Tristan Chawla,Qushi Trivedi,2005-03-10,Male,maxchawla@gmail.com,8885683457,"H.No. 396, Sankaran Circle
Mirzapur 697657","H.No. 607, Mittal Zila, Amravati-714082","76, Bansal Circle, Jalandhar 699241",65,95
22311088,Ranveer Ranganathan,Krishna Mallick,Xalak Maharaj,2001-10-15,Female,chandreshsha@gmail.com,9171985266,"H.No. 605, Nagar Chowk, Morbi 003096","H.No. 749
Mahajan Road, Bhalswa Jahangir Pur 713352","24/898, Merchant Zila
Ramagundam 673219",77,61
22311089,Elijah Madan,Victor Gandhi,Eta Ramaswamy,2003-04-18,Male,baljiwansabharwal@gmail.com,3876128909,"H.No. 06
Kapoor Marg
Mau 389016","79
Khosla Zila, Mirzapur-555640","15/20
Sagar Zila, Davanagere-467054",70,64
22311090,Qadim Wable,Isaiah Upadhyay,Mitali Garde,2004-05-18,Male,unni97@gmail.com,5997582179,"168
Ranganathan Chowk, Haldia 889274","H.No. 249
Chad
Erode 564608","235
Lad Ganj, Ambarnath-870967",75,91
22311091,Parth Borah,Naksh Wadhwa,Ati Varghese,2003-07-15,Female,gaurikanda@gmail.com,4050054615,"38/08
Mall Circle, Serampore 443937","H.No. 239, Chawla Nagar, Durgapur 446420","24
Cheema Path, Bellary 902739",78,73
22311092,Vrishti Maharaj,Jeremiah Ravel,Januja Anne,2004-02-29,Male,ckhalsa@gmail.com,7585946085,"99, Badami Ganj, Udaipur-099011","38
Char Road
Bhagalpur-243635","09/03
Magar Street
Tirupati 413932",97,83
22311093,Lakshit Natt,Bachittar Handa,Neha Kulkarni,1999-11-11,Female,saichaudhry@gmail.com,7861342461,"H.No. 965
Vora Circle, Secunderabad-596765","H.No. 49
Dora, Ongole 571839","95, Kata Ganj, Pondicherry-618096",93,70
22311094,Patrick Kari,Kai Das,Vasatika Viswanathan,2005-07-03,Male,wishi20@gmail.com,1501467754,"36/082
Parmer Nagar, Ranchi-014875","H.No. 73
Mahajan Ganj, Nagaon 111055","H.No. 25, Banik Street, Khammam-310658",77,80
22311095,Hemal Ravel,Oliver Om,Pahal Dyal,2003-10-08,Male,schawla@gmail.com,1064868447,"189
Dugal Chowk
Dhanbad-174156","H.No. 961, Kala Path
Deoghar 151493","H.No. 987, Arya Circle, Erode 748645",87,95
22311096,Gaurang Tak,Yagnesh Yadav,Triveni Narayanan,2001-05-22,Male,zsolanki@gmail.com,3299575072,"41/637
Dua Chowk, Solapur 471484","36/598
Rao, Phagwara 425349","152, Sengupta Circle
Sambalpur 224434",86,73
22311097,Rayaan Chakraborty,Devansh Mall,Anjali Sethi,2000-02-26,Male,varughesebahadurjit@gmail.com,1362963662,"H.No. 602
Garde Marg, Mau-296057","52/600
Sidhu Circle
Ahmednagar-590537","H.No. 43, Agrawal Path, Thrissur 952978",90,65
22311098,Jagrati Kapur,Jacob Karpe,Ria Kara,2002-06-10,Female,deshmukhaadi@gmail.com,3749229664,"68/383
Tak Nagar, Proddatur 860141","H.No. 22, Kothari Ganj
Kalyan-Dombivli 415670","72/06, Pandey Ganj, Bhatpara-214287",74,72
22311099,Chaitanya Swaminathan,Guneet Deol,Eta Master,2002-04-02,Female,annetanvi@gmail.com,2149365904,"31/79, Panchal Chowk, Jalandhar 154404","78, Krishnamurthy Ganj
Narasaraopet 121043","H.No. 99
Balay Path
Imphal-188141",82,92
22311100,Chaaya Grover,Hemang Tella,Harinakshi Nagi,2000-08-11,Female,walianikita@gmail.com,5895662282,"738
Ahuja Nagar, Ajmer 653492","21/726, Rao Chowk, Nellore-535075","65/04
Jayaraman Path, Dehradun 434546",63,62
22311101,Aahana Pant,Dhruv Edwin,Amrita Behl,1999-08-23,Female,vdeep@gmail.com,2815752363,"29/96
Ben Path
Imphal-183818","H.No. 93, Khanna Road
Vijayanagaram 820975","28, Sengupta Ganj, Bhopal 402591",66,84
22311102,Watika Brahmbhatt,Jack Rana,Udyati Ravel,2004-04-28,Female,tripathijason@gmail.com,3531242256,"513
Subramanian Circle
Tadipatri 534365","87
Nigam Circle, Tirunelveli-980416","621, Sur Road
Kanpur-084083",61,93
22311103,Bachittar Balakrishnan,Jonathan Iyer,Aachal Setty,1999-11-28,Male,evohra@gmail.com,1867585798,"678, Buch Zila, Mangalore-405282","H.No. 258, Prasad Path, Unnao-728119","H.No. 937
Joshi Street, Panipat-265514",86,86
22311104,Charita Bail,Pratyush Amble,Bhavika Natt,2000-10-22,Male,garima61@gmail.com,2017147419,"68/39, Bumb Zila
Meerut-033176","025
Chaudhry Road
Thrissur 229813","H.No. 510
Upadhyay Street
Proddatur 282751",79,85
22311105,Vihaan Din,Henry Kaur,Keya Pillai,2001-09-29,Male,om57@gmail.com,1991831192,"34/971
Behl Circle
Phagwara 348563","048
Ranganathan Zila
Dharmavaram 193696","H.No. 66, Pradhan Zila
Anantapur 684244",85,62
22311106,Praneel Subramaniam,Dakshesh Kulkarni,Vritti Ghose,2004-11-19,Male,ynarang@gmail.com,3010659828,"H.No. 245
Krish Ganj
Nadiad 068547","45/871
Prakash
Singrauli 127764","47/42
Madan Nagar, Tinsukia 329428",94,61
22311107,Yadavi Gill,William Rau,Nilima Bhattacharyya,2001-04-15,Male,evenkataraman@gmail.com,3647970431,"25/80, Oza, Srikakulam-224246","53/85, Jha Zila
Rajkot 046416","08, Sura Ganj
Nadiad 812050",60,83
22311108,Tamanna Ratti,Alexander Bakshi,Niharika Ratti,2001-12-19,Female,ugara@gmail.com,8937759473,"95/211, Behl Ganj, Nellore-447221","14/20
Kothari Path, Dehradun-599271","505, Dave Road, Siliguri-872611",88,68
